DFRP-No_No-RBIF,Asset-name_Nom_du_bien,Street-number_Numéro-civique,Address_Adresse,City_Ville,Province-Code_Code-de-province,Province_Territory_Province_Territoire,Postal-code_Code-postal,Asset-type_Type-de-bien,Asbestos_Amiante,Mgmt-plan_Plan-gest
152868.0,Building,480,de la Cité Boulevard,Gatineau,QC,Quebec,J8T 8R3,Lease,No,Not required
4466.0,550 de la Cité Boulevard,550,de la Cité Boulevard,Gatineau,QC,Quebec,J8T 0A7,Lease,No,Not required
7420.0,Les Promenades de l'Outaouais,85,de la Savane Road,Gatineau,QC,Quebec,J8T 8L5,Lease,No,Not required
17963.0,200 boulevard de la Technologie,200,de la Technologie Boulevard,Gatineau,QC,Quebec,J8Z 3H6,Lease,No,Not required
6915.0,Rosdev de Ville,105,de l'Hôtel-de-Ville Street,Gatineau,QC,Quebec,J8X 4H7,Lease,Yes,Yes
103708.0,Place du Portage Phase II,165,de l'Hôtel-de-Ville Street,Gatineau,QC,Quebec,K1A 0J2,Crown-owned,Yes,Yes
8903.0,Old Zellers Building,555,des Entreprises Avenue,Gatineau,QC,Quebec,J8R 2Z8,Crown-owned,No,Not required
54967.0,189 Deveault Street,189,Deveault Street,Gatineau,QC,Quebec,J8Z 1S7,Lease,No,Not required
27337.0,Gatineau Preservation Centre,625,du Carrefour Boulevard,Gatineau,QC,Quebec,J8T 8L8,Crown-owned,No,Not required
103700.0,Les Terrasses de la Chaudière - Central Building,1,du Portage Avenue,Gatineau,QC,Quebec,K1A 0N2,Crown-owned,Yes,Yes
7632.0,Place du Centre Office Tower (3rd floor and above),200,du Portage Avenue,Gatineau,QC,Quebec,J8X 4B7,Crown-owned,No,Not required
22180.0,"22 Eddy St, Gatineau, QC",22,Eddy Street,Gatineau,QC,Quebec,J8X 2V6,Lease-Purchase,Yes,Yes
103699.0,Les Terrasses de la Chaudière - J. Léger Building,25/15,Eddy Street,Gatineau,QC,Quebec,J8X 4B5,Crown-owned,Yes,Yes
70750.0,Marois Building,15,Gamelin Boulevard,Gatineau,QC,Quebec,J8Y 6N5,Lease,No,Not required
7638.0,Place du Portage Phase III,11,Laurier Street,Gatineau,QC,Quebec,K1A 0S5,Crown-owned,Yes,Yes
22110.0,72 Laval Street,72,Laval Street,Gatineau,QC,Quebec,J8X 3H3,Lease,No,Not required
7608.0,Building,2,Montcalm Street,Gatineau,QC,Quebec,J8X 2L8,Crown-owned,Yes,Yes
9637.0,Centre Montclair,9,Montclair Street,Gatineau,QC,Quebec,J8Y 2E2,Lease,No,Not required
18095.0,Office Building,80,Noel Street,Gatineau,QC,Quebec,J8Z 0A1,Lease,No,Not required
25097.0,Office Building,95,Noel Street,Gatineau,QC,Quebec,J8Z 0A1,Lease,Work in progress,Work in progress
54501.0,Canadian Museum of Nature - Curatorial Centre,1770,Pink Road,Gatineau,QC,Quebec,J9J 3N7,Crown-owned,Yes,Yes
9466.0,100 Promenade du Portage,100,Portage Parkway,Gatineau,QC,Quebec,J8X 2K1,Lease,No,Not required
6815.0,Place des Explorateurs,191,Portage Parkway,Gatineau,QC,Quebec,J8X 2K6,Lease,No,Not required
7632.0,Place du Centre,200,Portage Parkway,Gatineau,QC,Quebec,J8X 4B7,Lease,No,Not required
103718.0,Place du Portage Phase IV,140,Promenade du Portage Avenue,Gatineau,QC,Quebec,K1A 0M3,Crown-owned,Yes,Yes
