lat,lon,Z,Name,Organisme,Adresse,Ville,Province,Code_postal,Localisation_de_l_amiante,Source,L__gislation,Cat__gorie,Latitude,Longitude,Code postal,amiante,gislation,gorie
-73.64727,45.538906,0,John Caboto Academy,English-Montréal,8955 Rue Meunier,Montréal,Québec,H2N 1W3,Plafond Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.538906,-73.64727,H2N 1W3,Plafond Plancher,LSST RSST et CSTC,Établissement scolaire
-73.604882,45.560063,0,John F. Kennedy,English-Montréal,3030 Rue Villeray,Montréal,Québec,H2A 1E7,,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.560063,-73.604882,H2A 1E7,,LSST RSST et CSTC,Établissement scolaire
-73.598897,45.566937,0,Leonardo Da Vinci,English-Montréal,7575 19E Avenue,Montréal,Québec,H2A 2M2,Calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.566937,-73.598897,H2A 2M2,Calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.620062,45.482873,0,Marymount Academy,English-Montréal,5100. Chemin De La Côte-Saint-Luc,Montréal,Québec,H3W 2G9,Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.482873,-73.620062,H3W 2G9,Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-73.569045,45.650523,0,Mickelangelo International,English-Montréal,9360 5E Rue,Montréal,Québec,H1E 1K1,Calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.650523,-73.569045,H1E 1K1,Calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.582086,45.551449,0,Nesbitt,English-Montréal,6108 8E Avenue,Montréal,Québec,H1Y 2M2,Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.551449,-73.582086,H1Y 2M2,Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-73.588321,45.458681,0,Options High School,English-Montréal,1741 Rue De Biencourt,Montréal,Québec,H4E 1T4,Plafond Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.458681,-73.588321,H4E 1T4,Plafond Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-73.641108,45.5779,0,Our Lady Of Pompei,English-Montréal,9944 Boul. Saint-Michel,Montréal,Québec,H1H 5G8,Plafond Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.5779,-73.641108,H1H 5G8,Plafond Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
-73.598536,45.567362,0,Perspectives I&High Scool,English-Montréal,7770 20E Avenue,Montréal,Québec,H2A 2K9,Calorifuge,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.567362,-73.598536,H2A 2K9,Calorifuge,LSST RSST et CSTC,Établissement scolaire
-73.602937,45.546966,0,Pierre E. Trudeau,English-Montréal,6855 Boul. Cartier,Montréal,Québec,H2G 2W1,Calorifuge Plancher,Rapport 351 BAPE 2020,LSST RSST et CSTC,Établissement scolaire,45.546966,-73.602937,H2G 2W1,Calorifuge Plancher,LSST RSST et CSTC,Établissement scolaire
