Adresse,Latitude,Longitude,AverageConstructionYearNearby
195 Rue De Beauharnois Ouest,45.539983,-73.646648,1960.375
1350 Boul. Crémazie Est,45.551768,-73.626348,1946.516129032258
3525 Rue Sainte-Émilie,45.479458,-73.578549,1923.0162790697675
2910 Boul. Édouard-Montpetit,45.501344,-73.62072,1933.9134078212292
2787 Chemin Des Services,45.504338,-73.614962,1933.976833976834
2100 Boul. Édouard-Montpetit,45.50884,-73.613725,1931.628664495114
5255 Av. Louis-Colin,45.500829,-73.617661,1933.6715328467153
2787 Chem. Des Services,45.504338,-73.614962,1933.976833976834
2940 Chem. De La Côte-Sainte-Catherine,45.504752,-73.621858,1935.1720430107528
200 Av. Vincent-D'Indy,45.50943,-73.610401,1928.069306930693
2332 Bd Édouard-Montpetit,45.507307,-73.615115,1931.8442367601247
2910 Boul. Édouard-Montpetit,45.501344,-73.62072,1933.9134078212292
2375 Chem. De La Côte-Sainte-Catherine,45.50916,-73.618006,1932.0928725701945
90 Av. Vincent-D'Indy,45.510075,-73.611815,1930.139455782313
3200 Jean-Brillant,45.500012,-73.61806,1933.4070175438596
2905 Chem. Des Services,45.500951,-73.61655,1934.1774193548388
2900 Bd Édouard-Montpetit ·,45.503275,-73.618725,1934.2380952380952
3000 Rue Jean-Brillant,45.497885,-73.619897,1934.1024096385543
2450 Boul. Édouard-Montpetit,45.506253,-73.616076,1932.0785498489427
2950 Chemin Des Services,45.502375,-73.614347,1933.1272727272728
2442 Bd Édouard-Montpetit,45.50633,-73.616006,1931.9969604863222
2350 Bd Édouard-Montpetit,45.507211,-73.615203,1931.858044164038
1250 Rue Sanguinet,45.512368,-73.56065,1932.088888888889
1430 Rue Saint-Denis,45.513922,-73.56105,1931.7475
1212 Rue Sanguinet,45.511953,-73.559753,1931.9409448818897
840 Rue Cherrier,45.520521,-73.567915,1931.5291576673867
279 Rue Sainte-Catherine Est,45.512618,-73.561641,1932.7153284671533
400 Rue Sainte-Catherine Est,45.513773,-73.560461,1931.3090909090909
405 Rue Sainte-Catherine E,45.51383,-73.560603,1931.5438144329896
405 Boul. De Maisonneuve Est,45.514519,-73.561995,1931.1575342465753
1290 RueSaint-Denis,45.513672,-73.560549,1931.5473684210526
209 Rue Sainte-Catherine,45.511939,-73.562229,1932.1610169491526
315 Rue Sainte-Catherine Est,45.512969,-73.561345,1931.8710691823899
200 Rue Sherbrooke Oues,45.509908,-73.570566,1928.510250569476
455 Boul. René-Lévesque Est,45.512839,-73.558408,1931.8316151202748
3459 Rue Peel,45.502631,-73.578044,1926.160237388724
3463 Rue Peel,45.502685,-73.578154,1926.5210843373493
3465 Rue Peel,45.502712,-73.57821,1926.2349397590363
3471 Rue Peel,45.502794,-73.578376,1925.7523510971787
3475 Rue Peel,45.502848,-73.578486,1925.3136645962734
3479 Rue Peel,45.502902,-73.578597,1924.744408945687
3483 Rue Peel,45.502956,-73.578708,1925.0673076923076
3487 Rue Peel,45.50301,-73.578819,1924.458041958042
3491 Rue Peel,45.503064,-73.578929,1925.304659498208
3495 Rue Peel,45.503119,-73.579035,1925.1054545454544
3505 Rue Peel,45.503263,-73.579303,1923.4819277108434
3661A Rue Peel,45.503672,-73.580116,1922.0818965517242
3710 Rue Peel,45.504147,-73.581379,1921.7814207650274
3712 Rue Peel,45.504167,-73.581422,1921.9668508287293
3715 Rue Peel,45.504251,-73.581307,1920.1902173913043
3450 Rue University,45.505352,-73.57444,1926.7313167259786
853 Rue Sherbrooke O,45.503493,-73.575035,1927.8267223382045
3520 Rue University #2Nd,45.506654,-73.577127,1924.6949494949495
3935 Rue University,45.510174,-73.582958,1918.2170542635658
1001 Rue Sherbrooke O,45.502476,-73.576034,1930.5853658536585
805 Rue Sherbrooke O,45.503951,-73.574585,1928.2290836653387
3704 Rue Peel,45.504085,-73.581249,1921.9786096256685
3644 Rue Peel,45.503325,-73.579692,1924.1327800829877
